Species,Nb,Loci Count,Individual Count,P Value,Cycles,Decline,Power Value,Power Percent
bullT,50,100,100,0.15,10,15,1000,1.0
bullT,50,100,100,0.1,10,15,1000,1.0
bullT,50,100,100,0.05,5,15,620,0.62
bullT,50,100,100,0.15,5,15,891,0.891
bullT,50,100,100,0.1,5,15,797,0.797
bullT,50,100,100,0.05,7,15,992,0.992
bullT,50,100,100,0.15,7,15,1000,1.0
bullT,50,100,100,0.1,7,15,1000,1.0
bullT,50,100,25,0.05,10,15,918,0.918
bullT,50,100,25,0.15,10,15,985,0.985
bullT,50,100,25,0.1,10,15,969,0.969
bullT,50,100,25,0.05,5,15,134,0.134
bullT,50,100,25,0.15,5,15,328,0.328
bullT,50,100,25,0.1,5,15,235,0.235
bullT,50,100,25,0.05,7,15,415,0.415
bullT,50,100,25,0.15,7,15,704,0.704
bullT,50,100,25,0.1,7,15,601,0.601
bullT,50,100,50,0.05,10,15,998,0.998
bullT,50,100,50,0.15,10,15,1000,1.0
bullT,50,100,50,0.1,10,15,1000,1.0
bullT,50,100,50,0.05,5,15,344,0.344
bullT,50,100,50,0.15,5,15,656,0.656
bullT,50,100,50,0.1,5,15,533,0.533
bullT,50,100,50,0.05,7,15,858,0.858
bullT,50,100,50,0.15,7,15,970,0.97
bullT,50,100,50,0.1,7,15,948,0.948
bullT,50,100,100,0.05,10,5,767,0.767
bullT,50,100,100,0.15,10,5,906,0.906
bullT,50,100,100,0.1,10,5,869,0.869
bullT,50,100,100,0.05,5,5,127,0.127
bullT,50,100,100,0.15,5,5,299,0.299
bullT,50,100,100,0.1,5,5,227,0.227
bullT,50,100,100,0.05,7,5,333,0.333
bullT,50,100,100,0.15,7,5,541,0.541
bullT,50,100,100,0.1,7,5,460,0.46
bullT,50,100,25,0.05,10,5,154,0.154
bullT,50,100,25,0.15,10,5,355,0.355
bullT,50,100,25,0.1,10,5,263,0.263
bullT,50,100,25,0.05,5,5,35,0.035
bullT,50,100,25,0.15,5,5,122,0.122
bullT,50,100,25,0.1,5,5,71,0.071
bullT,50,100,25,0.05,7,5,62,0.062
bullT,50,100,25,0.15,7,5,191,0.191
bullT,50,100,25,0.1,7,5,127,0.127
bullT,50,100,50,0.05,10,5,436,0.436
bullT,50,100,50,0.15,10,5,672,0.672
bullT,50,100,50,0.1,10,5,590,0.59
bullT,50,100,50,0.05,5,5,72,0.072
bullT,50,100,50,0.15,5,5,188,0.188
bullT,50,100,50,0.1,5,5,140,0.14
bullT,50,100,50,0.05,7,5,162,0.162
bullT,50,100,50,0.15,7,5,330,0.33
bullT,50,100,50,0.1,7,5,248,0.248
bullT,50,100,100,0.05,10,7,952,0.952
bullT,50,100,100,0.15,10,7,986,0.986
bullT,50,100,100,0.1,10,7,977,0.977
bullT,50,100,100,0.05,5,7,190,0.19
bullT,50,100,100,0.15,5,7,442,0.442
bullT,50,100,100,0.1,5,7,343,0.343
bullT,50,100,100,0.05,7,7,550,0.55
bullT,50,100,100,0.15,7,7,782,0.782
bullT,50,100,100,0.1,7,7,701,0.701
bullT,50,100,25,0.05,10,7,275,0.275
bullT,50,100,25,0.15,10,7,510,0.51
bullT,50,100,25,0.1,10,7,407,0.407
bullT,50,100,25,0.05,5,7,48,0.048
bullT,50,100,25,0.15,5,7,143,0.143
bullT,50,100,25,0.1,5,7,102,0.102
bullT,50,100,25,0.05,7,7,94,0.094
bullT,50,100,25,0.15,7,7,263,0.263
bullT,50,100,25,0.1,7,7,181,0.181
bullT,50,100,50,0.05,10,7,730,0.73
bullT,50,100,50,0.15,10,7,898,0.898
bullT,50,100,50,0.1,10,7,842,0.842
bullT,50,100,50,0.05,5,7,97,0.097
bullT,50,100,50,0.15,5,7,256,0.256
bullT,50,100,50,0.1,5,7,182,0.182
bullT,50,100,50,0.05,7,7,279,0.279
bullT,50,100,50,0.15,7,7,516,0.516
bullT,50,100,50,0.1,7,7,426,0.426
bullT,50,200,100,0.05,10,0,903,0.903
bullT,50,200,100,0.15,10,0,753,0.753
bullT,50,200,100,0.1,10,0,818,0.818
bullT,50,200,100,0.05,5,0,935,0.935
bullT,50,200,100,0.15,5,0,822,0.822
bullT,50,200,100,0.1,5,0,880,0.88
bullT,50,200,100,0.05,7,0,920,0.92
bullT,50,200,100,0.15,7,0,797,0.797
bullT,50,200,100,0.1,7,0,857,0.857
bullT,50,200,25,0.05,10,0,941,0.941
bullT,50,200,25,0.15,10,0,846,0.846
bullT,50,200,25,0.1,10,0,889,0.889
bullT,50,200,25,0.05,5,0,943,0.943
bullT,50,200,25,0.15,5,0,836,0.836
bullT,50,200,25,0.1,5,0,903,0.903
bullT,50,200,25,0.05,7,0,942,0.942
bullT,50,200,25,0.15,7,0,825,0.825
bullT,50,200,25,0.1,7,0,893,0.893
bullT,50,200,50,0.05,10,0,939,0.939
bullT,50,200,50,0.15,10,0,834,0.834
bullT,50,200,50,0.1,10,0,888,0.888
bullT,50,200,50,0.05,5,0,939,0.939
bullT,50,200,50,0.15,5,0,841,0.841
bullT,50,200,50,0.1,5,0,892,0.892
bullT,50,200,50,0.05,7,0,934,0.934
bullT,50,200,50,0.15,7,0,833,0.833
bullT,50,200,50,0.1,7,0,877,0.877
bullT,50,200,100,0.05,10,10,1000,1.0
bullT,50,200,100,0.15,10,10,1000,1.0
bullT,50,200,100,0.1,10,10,1000,1.0
